Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C3, C6, C7, C8",0603,7,100n,
"C10, C5, C9",CP_Elec_5x5.9,3,100u,
"C13, C14, C15, C21",0603,4,22p,
C2,CP_Elec_8x6.9,1,330u,
C20,0603,1,33p,
C4,0603,1,1u,
"D1, D3",D_SOD-923,2,ESD9B5.0ST5G,
"D10, D11",0603,2,RED,
D13,0603,1,GREEN,
D2,D_SMA,1,SS36,
"D4, D6",SOD-123_L2.8-W1.8-LS3.7-RD,2,MMSZ5231,
D5,SOT-23-6_Handsoldering,1,ESDA6V1-5SC6,
"D7, D8",SOD-923_L0.8-W0.6-LS1.0-RD,2,ESD9L5,
F1,1206,1,Fuse,
J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,
J2,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J4,AMPHENOL_G85D1160022HHR,1,G85D1160022HHR,
L1,L_Vishay_IHLP-4040,1,100u,
L2,0603,1,47n,
"Q1, Q2, Q3, Q4",SOT-23_Handsoldering,4,DTC143Z,
"R12, R13",0603,2,470,
R16,0603,1,10,
R2,0603,1,2k2,
R3,0603,1,1k,
R4,0603,1,820,
"R5, R6, R7",0603,3,22,
"R8, R9",0603,2,47k,
"RF1, RF2, RF3",SMA-TH_SMA-KE-5,3,SMA-KE,
U1,XCVR_SIM7600E,1,SIM7600E,
U2,TO-263-5_TabPin3,1,LM2596S-ADJ,
U3,Texas_RGY_R-PVQFN-N20_EP2.05x3.05mm,1,TXB0108RGY,
