Designator,Mid X,Mid Y,Rotation,Layer
C1,102.85,-52.4375,90.0,top
C10,126.2888,-40.132,0.0,top
C11,119.75,-40.775,270.0,bottom
C12,126.25,-37.75,180.0,bottom
C13,105.5,-75.1332,270.0,top
C14,103.8,-66.625,90.0,top
C15,101.425,-70.8,180.0,top
C2,133.5786,-91.44,90.0,top
C20,110.7875,-41.15,0.0,top
C21,114.35,-42.85,0.0,top
C3,134.493,-84.4296,0.0,top
C4,113.2586,-97.4468,270.0,top
C5,108.5,-101.2,0.0,top
C6,102.95,-55.05,270.0,bottom
C7,109.7,-69.425,270.0,bottom
C8,131.2672,-42.9006,0.0,top
C9,136.0,-40.35,180.0,top
D1,104.2,-52.9196,270.0,top
D10,149.9,-59.5,0.0,top
D11,149.95,-63.2416,0.0,top
D13,132.725,-81.6,0.0,top
D2,115.9764,-96.298,270.0,top
D3,104.25,-54.7,90.0,bottom
D4,131.4182,-36.7886,90.0,top
D5,108.75,-73.8625,270.0,bottom
D6,103.75,-58.0076,90.0,top
D7,103.55,-61.91,90.0,top
D8,103.55,-63.79,270.0,top
F1,117.732,-102.2096,180.0,top
J1,98.935,-63.225,270.0,top
J2,133.69,-32.65,270.0,bottom
J3,134.79,-103.15,90.0,bottom
J4,118.8,-73.375,270.0,bottom
L1,123.3678,-89.6757,90.0,top
L2,114.35,-41.15,0.0,top
Q1,99.25,-53.25,180.0,top
Q2,99.25,-54.25,0.0,bottom
Q3,141.8,-59.5,180.0,top
Q4,141.8,-63.25,180.0,top
R12,146.3625,-59.5,180.0,top
R13,146.3875,-63.25,180.0,top
R16,110.7375,-42.8,180.0,top
R2,115.1128,-89.7006,270.0,top
R3,113.3856,-91.4278,270.0,top
R4,129.2,-81.6,180.0,top
R5,103.9,-73.3375,270.0,top
R6,101.375,-72.5,0.0,top
R7,102.8875,-69.2,0.0,top
R8,120.675,-43.95,0.0,bottom
R9,120.725,-37.65,180.0,bottom
RF1,144.4,-71.3,0.0,top
RF2,144.4,-52.3001,0.0,top
RF3,115.0501,-36.5501,0.0,top
U1,121.9962,-60.8076,0.0,top
U2,102.199,-92.6,180.0,top
U3,123.3,-40.8,90.0,bottom
